"phi","r","g","b"
0,1,0.975773,0
0.001,1,0.976129,2.59236e-17
0.002,1,0.976485,0
0.003,1,0.976841,0
0.004,1,0.977197,0
0.005,1,0.977553,3.39213e-17
0.006,1,0.977909,0
0.007,1,0.978264,0
0.008,1,0.978619,0
0.009,1,0.978974,0
0.01,1,0.979329,0
0.011,1,0.979684,0
0.012,1,0.980039,0
0.013,1,0.980393,0
0.014,1,0.980747,0
0.015,1,0.981101,0
0.016,1,0.981455,0
0.017,1,0.981808,8.44662e-17
0.018,1,0.982138,0
0.019,1,0.982467,0
0.02,1,0.982796,0
0.021,1,0.983126,0
0.022,1,0.983455,0
0.023,1,0.983783,0
0.024,1,0.984112,1.64575e-16
0.025,1,0.984441,0
0.026,1,0.984769,0
0.027,1,0.985097,0
0.028,1,0.985425,9.03752e-17
0.029,1,0.985753,0
0.03,1,0.986081,0
0.031,1,0.986409,0
0.032,1,0.986736,1.61752e-17
0.033,1,0.987064,0
0.034,1,0.987391,0
0.035,1,0.987705,0
0.036,1,0.988008,0
0.037,1,0.988311,2.50671e-17
0.038,1,0.988614,0
0.039,1,0.988916,0
0.04,1,0.989219,0
0.041,1,0.989521,0
0.042,1,0.989823,0
0.043,1,0.990125,0
0.044,1,0.990427,4.18674e-17
0.045,1,0.990729,0
0.046,1,0.99103,0
0.047,1,0.991332,7.98575e-17
0.048,1,0.991633,0
0.049,1,0.991934,0
0.05,1,0.992236,0
0.051,1,0.992537,3.82288e-17
0.052,1,0.992837,0
0.053,1,0.993113,6.83974e-17
0.054,1,0.99339,0
0.055,1,0.993666,0
0.056,1,0.993942,0
0.057,1,0.994218,0
0.058,1,0.994494,1.14701e-16
0.059,1,0.99477,0
0.06,1,0.995045,2.0445e-18
0.061,1,0.995321,0
0.062,1,0.995596,0
0.063,1,0.995872,1.61004e-16
0.064,1,0.996147,0
0.065,1,0.996422,0
0.066,1,0.996697,0
0.067,1,0.996972,0
0.068,1,0.997247,0
0.069,1,0.997522,0
0.07,0.999937,0.997724,6.61778e-17
0.071,0.999815,0.997858,0
0.072,0.999693,0.997992,0
0.073,0.999571,0.998127,0
0.074,0.999449,0.998261,0
0.075,0.999328,0.998395,0
0.076,0.999206,0.998529,0
0.077,0.999084,0.998663,0
0.078,0.998962,0.998797,1.96991e-17
0.079,0.99884,0.998931,4.59403e-17
0.08,0.998718,0.999065,0
0.081,0.998596,0.999199,0
0.082,0.998473,0.999333,0
0.083,0.998351,0.999467,0
0.084,0.998229,0.999601,0
0.085,0.998107,0.999734,0
0.086,0.997985,0.999868,0
0.087,0.99786,1,0
0.088,0.997587,1,0
0.089,0.997313,1,0
0.09,0.997039,1,0
0.091,0.996764,1,0
0.092,0.99649,1,0
0.093,0.996216,1,0
0.094,0.995941,1,0
0.095,0.995667,1,0
0.096,0.995392,1,0
0.097,0.995117,1,0
0.098,0.994842,1,5.64852e-17
0.099,0.994567,1,5.21196e-17
0.1,0.994292,1,4.77541e-17
0.101,0.994017,1,0
0.102,0.993742,1,0
0.103,0.993466,1,0
0.104,0.993191,1,9.85301e-18
0.105,0.992902,1,0
0.106,0.992602,1,0
0.107,0.992302,1,0
0.108,0.992001,1,0
0.109,0.9917,1,0
0.11,0.991399,1,0
0.111,0.991099,1,0
0.112,0.990797,1,0
0.113,0.990496,1,0
0.114,0.990195,1,0
0.115,0.989893,1,0
0.116,0.989592,1,0
0.117,0.98929,1,0
0.118,0.988988,1,0
0.119,0.988686,1,0
0.12,0.988384,1,0
